Anaa Airport,AAA
Hat Yai International Airport,HDY
Herat Airport,HEA
Hinthada Airport,HEB
Herendeen Bay Airport,HED
Thompson-Robbins Airport,HEE
Heglig Airport,HEG
Heho Airport,HEH
Heide-BÃ¼sum Airport,HEI
Heihe Airport,HEK
Helsinki Vantaa Airport,HEL
Helsinki Malmi Airport,HEM
Haelogo Airport,HEO
Heraklion International Nikos Kazantzakis Airport,HER
Hermiston Municipal Airport,HES
Baita International Airport,HET
Athen Helenikon Airport,HEW
Herrera Airport,HEX
Hanchey Army (Fort Rucker) Heliport,HEY
Hardy-Anders Field / Natchez-Adams County Airport,HEZ
Haifa International Airport,HFA
Hartford Brainard Airport,HFD
Hefei Luogang International Airport,HFE
Mackall Army Air Field,HFF
HornafjÃ¶rÃ°ur Airport,HFN
Hagfors Airport,HFS
Hammerfest Airport,HFT
Egal International Airport,HGA
Hughenden Airport,HGD
Higuerote Airport,HGE
Hangzhou Xiaoshan International Airport,HGH
"Paloich Airport, Heliport",HGI
Helgoland-DÃ¼ne Airport,HGL
Mae Hong Son Airport,HGN
Korhogo Airport,HGO
Hagerstown Regional Richard A Henson Field,HGR
Hastings Airport,HGS
Tusi AHP (Hunter Liggett) Heliport,HGT
Mount Hagen Kagamuga Airport,HGU
Hog River Airport,HGZ
Hachinohe Airport,HHE
Hilton Head Airport,HHH
Wheeler Army Airfield,HHI
Frankfurt-Hahn Airport,HHN
Shun Tak Heliport,HHP
Hua Hin Airport,HHQ
Jack Northrop Field Hawthorne Municipal Airport,HHR
Hikueru Atoll Airport,HHZ
Lianshui Airport,HIA
Range Regional Airport,HIB
Horn Island Airport,HID
Mount Washington Regional Airport,HIE
Hill Air Force Base,HIF
Highbury Airport,HIG
Lake Havasu City Airport,HII
Hiroshima Airport,HIJ
Shilavo Airport,HIL
Hingurakgoda Air Force Base,HIM
Sacheon Air Base/Airport,HIN
Portland Hillsboro Airport,HIO
Headingly Airport,HIP
Honiara International Airport,HIR
Hayman Island Resort Seaplane Base,HIS
Haivaro Airport,HIT
Hiroshima Heliport,HIW
Zhijiang Airport,HJJ
Khajuraho Airport,HJR
Khujirt Airport,HJT
Blytheville Municipal Airport,HKA
Healy Lake Airport,HKB
Hakodate Airport,HKD
Hong Kong International Airport,HKG
Hong Kong International Airport Kai Tak,HKG
Hokitika Airfield,HKK
Kimbe Airport,HKN
Kaanapali Airport,HKP
Mara North Conservancy Airstrip,HKR
Hawkins Field,HKS
Phuket International Airport,HKT
Malevo Airport,HKV
Hickory Regional Airport,HKY
Lanseria Airport,HLA
Hillenbrand Industries Airport,HLB
Hill City Municipal Airport,HLC
Hulunbuir Hailar Airport,HLD
St. Helena Airport,HLE
Hultsfred Airport,HLF
Wheeling Ohio County Airport,HLG
Ulanhot Airport,HLH
Hollister Municipal Airport,HLI
Hillside Airport,HLL
Park Township Airport,HLM
Helena Regional Airport,HLN
IngjaldssanÃ°ur Airport,HLO
Halim Perdanakusuma International Airport,HLP
Hood Army Air Field,HLR
St Helens Airport,HLS
Hamilton Airport,HLT
Nesson Airport,HLU
Helenvale Airport,HLV
Hluhluwe Airport,HLW
Hamilton International Airport,HLZ
Khanty Mansiysk Airport,HMA
Sohag International Airport,HMB
Oued Irara Airport,HME
Hermannsburg Airport,HMG
Hami Airport,HMI
Khmelnytskyi Airport,HMJ
Holloman Air Force Base,HMN
General Ignacio P. Garcia International Airport,HMO
Stafsberg Airport,HMR
Hemet Ryan Airport,HMT
Hemavan Airport,HMV
Seosan Air Base,HMY
Hanamaki Airport,HNA
Huntingburg Airport,HNB
Billy Mitchell Airport,HNC
Tokyo Haneda International Airport,HND
Hoonah Airport,HNH
Heiweni Airport,HNI
Daniel K Inouye International Airport,HNL
Hana Airport,HNM
Honinabi Airport,HNN
Haines Airport,HNS
Hengyang Nanyue Airport,HNY
Hola Airport,HOA
Lea County Regional Airport,HOB
Komako Airport,HOC
Hodeidah International Airport,HOD
Ban Huoeisay Airport,HOE
Al Ahsa Airport,HOF
Frank Pais International Airport,HOG
Hohenems-Dornbirn Airfield,HOH
Hao Airport,HOI
Hooker Creek Airport,HOK
Homer Airport,HOM
Huron Regional Airport,HON
Nhon Co Airfield,HOO
Campbell AAF (Fort Campbell) Air Field,HOP
Hof-Plauen Airport,HOQ
Horta Airport,HOR
Chos Malal Airport,HOS
Memorial Field,HOT
William P Hobby Airport,HOU
"Ãrsta-Volda Airport, Hovden",HOV
Hommalinn Airport,HOX
Hoy/Longhope Airfield,HOY
Lifuka Island Airport,HPA
Hooper Bay Airport,HPB
Hope Vale Airport,HPE
Shennongjia Hongping Airport,HPG
Cat Bi International Airport,HPH
Westchester County Airport,HPN
Pretoria Central Heliport,HPR
Hampton Municipal Airport,HPT
Princeville Airport,HPV
Baytown Airport,HPY
Bowerman Airport,HQM
Mansehra Airport,HRA
Taiping Airport,HRB
Sary Su Airport,HRC
Robert Gabriel Mugabe International Airport,HRE
Hurghada International Airport,HRG
Mattala Rajapaksa International Airport,HRI
Kharkiv International Airport,HRK
Valley International Airport,HRL
Hassi R'Mel Airport,HRM
Boone County Airport,HRO
Herrera Airport,HRR
Harrismith Airport,HRS
RAF Linton-On-Ouse,HRT
Henbury Airport,HRY
Walter BÃ¼ndchen Airport,HRZ
Harrisburg-Raleigh Airport,HSB
Shaoguan Guitou Airport,HSC
Saga Airport,HSG
Henderson Executive Airport,HSH
Hastings Municipal Airport,HSI
Shangjie Airport,HSJ
Huesca/Pirineos Airport,HSK
Huslia Airport,HSL
Horsham Airport,HSM
Zhoushan Airport,HSN
Ingalls Field,HSP
Hissar Airport,HSS
Homestead ARB Airport,HST
Huntsville International Carl T Jones Field,HSV
Hsinchu Air Base,HSZ
Chita-Kadala Airport,HTA
Khatanga Airport,HTG
Hawthorne Industrial Airport,HTH
Hamilton Island Airport,HTI
Roscommon County - Blodgett Memorial Airport,HTL
Khatgal Airport,HTM
Hotan Airport,HTN
East Hampton Airport,HTO
Hateruma Airport,HTR
Tri-State/Milton J. Ferguson Field,HTS
Huatugou Airport,HTT
Hopetoun Airport,HTU
Huntsville Regional Airport,HTV
Lawrence County Airpark,HTW
Hatay Airport,HTY
Hato Corozal Airport,HTZ
Redstone Army Air Field,HUA
Humbert River Airport,HUB
Humacao Airport,HUC
Humboldt Municipal Airport,HUD
Humera Airport,HUE
"Terre Haute Regional Airport, Hulman Field",HUF
Huehuetenango Airport,HUG
Huahine-Fare Airport,HUH
Phu Bai Airport,HUI
Stan Stamper Municipal Airport,HUJ
Hukuntsi Airport,HUK
Houlton International Airport,HUL
Houma Terrebonne Airport,HUM
Hualien Airport,HUN
Holingol Huolinhe Airport,HUO
Hon Airport,HUQ
Hughes Airport,HUS
Hutchinson Municipal Airport,HUT
Alferez Fap David Figueroa Fernandini Airport,HUU
Hudiksvall Airport,HUV
HumaitÃ¡ Airport,HUW
BahÃ­as de Huatulco International Airport,HUX
Humberside Airport,HUY
Huizhou Airport,HUZ
Analalava Airport,HVA
Hervey Bay Airport,HVB
Khovd Airport,HVD
Hanksville Airport,HVE
Valan Airport,HVG
HÃ³lmavÃ­k Airport,HVK
KrÃ³kstaÃ°armelar Airport,HVM
Tweed New Haven Airport,HVN
Havre City County Airport,HVR
Hartsville Regional Airport,HVS
Hawabango Airport,HWA
Hayward Executive Airport,HWD
Wilpena Pound Airport,HWK
Hwange National Park Airport,HWN
North Perry Airport,HWO
Delingha Airport,HXD
Hay Airport,HXX
Barnstable Municipal Boardman Polando Field,HYA
Wycombe Air Park,HYC
Rajiv Gandhi International Airport,HYD
Hayfields Airport,HYF
Hydaburg Seaplane Base,HYG
Hollis Clark Bay Seaplane Base,HYL
Huangyan Luqiao Airport,HYN
Sawyer County Airport,HYR
Hays Regional Airport,HYS
HyvinkÃ¤Ã¤ Airfield,HYV
Merville-Calonne Airport,HZB
Hanzhong Chenggu Airport,HZG
Liping Airport,HZH
HÃºsavÃ­k Airport,HZK
Hazleton Municipal Airport,HZL
Fort Mackay / Horizon Airport,HZP
Hazyview Airport,HZV
Igarka Airport,IAA
Mc Connell Air Force Base,IAB
Washington Dulles International Airport,IAD
Niagara Falls International Airport,IAG
George Bush Intercontinental Houston Airport,IAH
Ialibu Airport,IAL
In AmÃ©nas Airport,IAM
Bob Baker Memorial Airport,IAN
Siargao Airport,IAO
Bahregan Airport,IAQ
Tunoshna Airport,IAR
IaÅi Airport,IAS
Ibadan Airport,IBA
General Villamil Airport,IBB
Perales Airport,IBE
Iboki Airport,IBI
Indigo Bay Lodge Airport,IBL
Ibo Airport,IBO
Iberia Airport,IBP
Ibaraki Airport / JASDF Hyakuri Air Base,IBR
Ibiza Airport,IBZ
IcabarÃº Airport,ICA
AndrÃ©s Miguel Salazar Marcano Airport,ICC
Cicia Airport,ICI
Nieuw Nickerie Airport,ICK
Schenck Field,ICL
Incheon International Airport,ICN
Sicogon Airstrip,ICO
Nicaro Airport,ICR
Cascade Airport,ICS
Wichita Eisenhower National Airport,ICT
Icy Bay Airport,ICY
Idaho Falls Regional Airport,IDA
Idre Airport,IDB
Idiofa Airport,IDF
Idaho County Airport,IDH
Indiana County/Jimmy Stewart Fld/ Airport,IDI
Indulkana Airport,IDK
Indagen Airport,IDN
Santa Izabel do Morro Airport,IDO
Independence Municipal Airport,IDP
Devi Ahilyabai Holkar Airport,IDR
Ãle d'Yeu Airport,IDY
Zielona GÃ³ra-Babimost Airport,IEG
Ie Jima Airport,IEJ
Riesa-GÃ¶hlis Airport,IES
Kiev Zhuliany International Airport,IEV
Iowa Falls Municipal Airport,IFA
Iffley Airport,IFF
Hesa Airport,IFH
ÃsafjÃ¶rÃ°ur Airport,IFJ
Innisfail Airport,IFL
Esfahan Shahid Beheshti International Airport,IFN
Ivano-Frankivsk International Airport,IFO
Laughlin Bullhead International Airport,IFP
Ifuru Airport,IFU
Inagua Airport,IGA
Cabo F.A.A. H. R. BordÃ³n Airport,IGB
IÄdÄ±r Airport,IGD
Tchongorove Airport,IGE
Igiugig Airport,IGG
Ingham Airport,IGH
ÃiÄli Airport,IGL
Kingman Airport,IGM
Maria Cristina Airport,IGN
ChigorodÃ³ Airport,IGO
Cataratas Del IguazÃº International Airport,IGR
Ingolstadt Manching Airport,IGS
Magas Airport,IGT
Cataratas International Airport,IGU
Inhaca Airport,IHC
Qishn Airport,IHN
Ihosy Airport,IHO
Iran Shahr Airport,IHR
Ihu Airport,IHU
Inishmaan Aerodrome,IIA
Ilam Airport,IIL
Nissan Island Airport,IIS
Izhevsk Airport,IJK
IjuÃ­ Airport,IJU
Imam Khomeini International Airport,IKA
Wilkes County Airport,IKB
Iki Airport,IKI
Greater Kankakee Airport,IKK
Ikela Airport,IKL
Nikolski Air Station,IKO
Inkerman Airport,IKP
Tiksi Airport,IKS
Irkutsk Airport,IKT
Issyk-Kul International Airport,IKU
Illaga Airport,ILA
Lleida-Alguaire Airport,ILD
Skylark Field,ILE
Ilford Airport,ILF
New Castle Airport,ILG
Illesheim Air Base,ILH
Iliamna Airport,ILI
Atsinanana Airport,ILK
Willmar Municipal -John L Rice Field,ILL
Wilmington International Airport,ILM
Wilmington Airpark,ILN
Iloilo International Airport,ILO
Ãle des Pins Airport,ILP
Ilo Airport,ILQ
Ilorin International Airport,ILR
Kilaguni Airport,ILU
Ileg Airport,ILX
Islay Airport,ILY
Å½ilina Airport,ILZ
Iamalele Airport,IMA
Imbaimadai Airport,IMB
Imonda Airport,IMD
Imphal Airport,IMF
Inhaminga Airport,IMG
Ine Airport,IMI
Simikot Airport,IMK
Imperial Municipal Airport,IML
Immokalee Regional Airport,IMM
Imane Airport,IMN
Zemio Airport,IMO
Prefeito Renato Moreira Airport,IMP
Maku National Airport,IMQ
Ford Airport,IMT
Inta Airport,INA
Independence Airport,INB
Yinchuan Hedong International Airport,INC
Indianapolis International Airport,IND
Chinde Airport,INE
In Guezzam Airport,INF
Lago Argentino Airport,ING
Inhambane Airport,INH
Nis Airport,INI
Injune Airport,INJ
Winkler County Airport,INK
Falls International Airport,INL
Innamincka Airport,INM
Innsbruck Airport,INN
Inongo Airport,INO
Inisheer Aerodrome,INQ
Creech Air Force Base,INS
Smith Reynolds Airport,INT
Nauru International Airport,INU
Inverness Airport,INV
Winslow Lindbergh Regional Airport,INW
Inanwatan Airport,INX
Inyati Airport,INY
In Salah Airport,INZ
Ioannina Airport,IOA
Iokea Airport,IOK
Isle of Man Airport,IOM
Impfondo Airport,ION
Ioma Airport,IOP
Isortoq Heliport,IOQ
Inishmore Aerodrome,IOR
Bahia - Jorge Amado Airport,IOS
Edmond CanÃ© Airport,IOU
Iowa City Municipal Airport,IOW
Ipota Airport,IPA
Mataveri Airport,IPC
Ipil Airport,IPE
Ipiranga Airport,IPG
Sultan Azlan Shah Airport,IPH
San Luis Airport,IPI
Imperial County Airport,IPL
Usiminas Airport,IPN
Williamsport Regional Airport,IPT
IpiaÃº Airport,IPU
San Isidro del General Airport,IPZ
Al Asad Air Base,IQA
Qiemo Yudu Airport,IQM
Qingyang Airport,IQN
Diego Aracena Airport,IQQ
Coronel FAP Francisco Secada Vignetta International Airport,IQT
Ngorangora Airport,IRA
Iraan Municipal Airport,IRB
Circle City /New/ Airport,IRC
Ishurdi Airport,IRD
IrecÃª Airport,IRE
Lockhart River Airport,IRG
Iringa Airport,IRI
Capitan V A Almonacid Airport,IRJ
Kirksville Regional Airport,IRK
Igrim Airport,IRM
Iriona Airport,IRN
Birao Airport,IRO
Matari Airport,IRP
Kirsch Municipal Airport,IRS
Iranamadu Seaplane Base,IRU
Tapuruquara Airport,IRZ
Mount Isa Airport,ISA
Islamabad International Airport,ISB
St. Mary's Airport,ISC
Santa BÃ¡rbara Airport,ISD
SÃ¼leyman Demirel International Airport,ISE
New Ishigaki Airport,ISG
Isisford Airport,ISI
Isla Mujeres Airport,ISJ
Nashik Airport,ISK
AtatÃ¼rk International Airport,ISL
Kissimmee Gateway Airport,ISM
Sloulin Field International Airport,ISN
Kinston Regional Jetport At Stallings Field,ISO
Long Island Mac Arthur Airport,ISP
Schoolcraft County Airport,ISQ
Wiscasset Airport,ISS
Istanbul Airport,IST
Sulaymaniyah International Airport,ISU
Alexander Field South Wood County Airport,ISW
Itacoatiara Airport,ITA
Itaituba Airport,ITB
ItuberÃ¡ Airport,ITE
Ithaca Tompkins Regional Airport,ITH
AgropecuÃ¡ria Castanhais Airport,ITI
Itokama Airport,ITK
Osaka International Airport,ITM
Tertuliano Guedes de Pinho Airport,ITN
Hilo International Airport,ITO
Itaperuna Airport,ITP
Itaqui Airport,ITQ
Francisco Vilela do Amaral Airport,ITR
Iturup Airport,ITU
Canandaigua Airport,IUA
Niue International Airport,IUE
Innarsuit Heliport,IUI
Ilu Airport,IUL
Inus Airport,IUS
Ampampamena Airport,IVA
Invercargill Airport,IVC
Berane Airport,IVG
Ivishak Airport,IVH
Viveros Island Airport,IVI
Ivalo Airport,IVL
Inverell Airport,IVR
Inverway Airport,IVW
Ivanovo South Airport,IWA
Gogebic Iron County Airport,IWD
Iwami Airport,IWJ
Iwakuni Kintaikyo Airport / Marine Corps Air Station Iwakuni,IWK
Iwo Jima Airport,IWO
West Houston Airport,IWS
Agartala Airport,IXA
Bagdogra Airport,IXB
Chandigarh Airport,IXC
Allahabad Airport,IXD
Mangalore International Airport,IXE
Belgaum Airport,IXG
Kailashahar Airport,IXH
North Lakhimpur Airport,IXI
Jammu Airport,IXJ
Keshod Airport,IXK
Leh Kushok Bakula Rimpochee Airport,IXL
Madurai Airport,IXM
Khowai Airport,IXN
Pathankot Airport,IXP
Kamalpur Airport,IXQ
Birsa Munda Airport,IXR
Silchar Airport,IXS
Pasighat Airport,IXT
Aurangabad Airport,IXU
Along Airport,IXV
Sonari Airport,IXW
Bidar Air Force Station,IXX
Kandla Airport,IXY
Vir Savarkar International Airport,IXZ
Inyokern Airport,IYK
Presidente Itamar Franco Airport,IZA
Zona da Mata Regional Airport,IZA
Izumo En-Musubi Airport,IZO
Ixtepec Airport,IZT
Jalalabad Airport,JAA
Jabiru Airport,JAB
Jackson Hole Airport,JAC
Perth Jandakot Airport,JAD
Shumba Airport,JAE
Kankesanturai Airport,JAF
Shahbaz Air Base,JAG
Jaipur International Airport,JAI
Jacmel Airport,JAK
El Lencero Airport,JAL
Bezmer Air Base,JAM
Jackson-Medgar Wiley Evers International Airport,JAN
Chacarita Airport,JAP
Jacquinot Bay Airport,JAQ
Jahrom Airport,JAR
Jasper County Airport-Bell Field,JAS
Jabot Airport,JAT
Francisco Carle Airport,JAU
Ilulissat Airport,JAV
Jacksonville International Airport,JAX
"Noto Hadinegoro, Jember Airport",JBB
Berkley Municipal Heliport,JBK
La Isabela International Airport,JBQ
Jonesboro Municipal Airport,JBR
SÃ£o Borja Airport,JBS
Bethel Seaplane Base,JBT
Croisette Heliport,JCA
Santa Terezinha Airport,JCB
Qasigiannguit Heliport,JCH
New Century Aircenter Airport,JCI
Chuja Port Heliport,JCJ
Julia Creek Airport,JCK
Jacobina Airport,JCM
Jacareacanga Airport,JCR
Kimble County Airport,JCT
Ceuta Heliport,JCU
LBJ Ranch Airport,JCY
Grant Co Regional/Ogilvie Field,JDA
Francisco de Assis Airport,JDF
Jeongseok Airport,JDG
Jodhpur Airport,JDH
Jordan Airport,JDN
Orlando Bezerra de Menezes Airport,JDO
Paris Issy-les-Moulineaux Heliport,JDP
Prefeito OctÃ¡vio de Almeida Neves Airport,JDR
Jingdezhen Airport,JDZ
King Abdulaziz International Airport,JED
JÃ©rÃ©mie Airport,JEE
Jefferson City Memorial Airport,JEF
Aasiaat Airport,JEG
Jeh Airport,JEJ
Jeki Airport,JEK
JequiÃ© Airport,JEQ
Jersey Airport,JER
John F Kennedy International Airport,JFK
Northeast Ohio Regional Airport,JFN
Paamiut Airport,JFR
Jamnagar Airport,JGA
Jagdalpur Airport,JGB
Jiagedaqi Airport,JGD
Jiayuguan Airport,JGN
Qeqertarsuaq Heliport,JGO
Groennedal Heliport,JGR
Jinggangshan Airport,JGS
Senai International Airport,JHB
Xishuangbanna Gasa Airport,JHG
Fort MacKay/Albian Aerodrome,JHL
Kapalua Airport,JHM
Shute Harbour Airport,JHQ
Sisimiut Airport,JHS
Chautauqua County-Jamestown Airport,JHW
JuÃ­na Airport,JIA
Djibouti-Ambouli Airport,JIB
Jinchuan Airport,JIC
Wilwal International Airport,JIJ
Ikaria Airport,JIK
Jilin Airport,JIL
Jimma Airport,JIM
Jinja Airport,JIN
Jos Orno Imsula Airport,JIO
Jipijapa Airport,JIP
Qianjiang Wulingshan Airport,JIQ
Jiri Airport,JIR
Jiujiang Lushan Airport,JIU
Jiwani Airport,JIW
Comandante Ariston Pessoa Airport,JJD
Humberto Ghizzo Bortoluzzi Regional Airport,JJG
Juanjui Airport,JJI
Mulika Lodge Airport,JJM
Quanzhou Jinjiang International Airport,JJN
Qaqortoq Heliport,JJU
JÃ¶nkÃ¶ping Airport,JKG
Chios Island National Airport,JKH
Kalymnos Airport,JKL
Janakpur Airport,JKR
Cherokee County Airport,JKV
Quartz Creek Airport,JLA
Joplin Regional Airport,JLN
Jabalpur Airport,JLR
Jales Airport,JLS
Jamba Airport,JMB
Lancang Jingmai Airport,JMJ
Mikonos Airport,JMK
Jomsom Airport,JMO
Jamestown Regional Airport,JMS
Jiamusi Airport,JMU
JanuÃ¡ria Airport,JNA
OR Tambo International Airport,JNB
Jining Qufu Airport,JNG
Junin Airport,JNI
Ja'Aluni Airport,JNJ
Nanortalik Heliport,JNN
Narsaq Heliport,JNS
Juneau International Airport,JNU
Naxos Airport,JNX
Jinzhou Airport,JNZ
Joensuu Airport,JOE
Adisutjipto International Airport,JOG
Port St Johns Airport,JOH
Lauro Carneiro de Loyola Airport,JOI
Doris Lake,JOJ
Yoshkar-Ola Airport,JOK
Jolo Airport,JOL
Njombe Airport,JOM
Johnston Atoll Airport,JON
Josephstaal Airport,JOP
Yakubu Gowon Airport,JOS
Joliet Regional Airport,JOT
Presidente Castro Pinto International Airport,JPA
Pan Am Building Heliport,JPB
Pentagon Army Heliport,JPN
Ji-ParanÃ¡ Airport,JPR
Qaarsut Airport,JQA
JaquÃ© Airport,JQE
West 30th St. Heliport,JRA
Downtown-Manhattan/Wall St Heliport,JRB
Kalaeloa Airport,JRF
Jharsuguda Airport,JRG
Jorhat Airport,JRH
Juruena Airport,JRN
Kilimanjaro International Airport,JRO
Jerusalem Airport,JRS
Jaisalmer Airport,JSA
Sitia Airport,JSH
Skiathos Island National Airport,JSI
Jiansanjiang Airport,JSJ
Jask Airport,JSK
Jose De San Martin Airport,JSM
Jessore Airport,JSR
John Murtha Johnstown Cambria County Airport,JST
Maniitsoq Airport,JSU
Syros Airport,JSY
Bauru - Arealva Airport,JTC
JataÃ­ Airport,JTI
Santorini Airport,JTR
Astypalaia Airport,JTY
InÃ¡cio LuÃ­s do Nascimento Airport,JUA
Juba International Airport,JUB
Jiuhuashan Airport,JUH
Juist Airport,JUI
Gobernador Horacio Guzman International Airport,JUJ
Ukkusissat Heliport,JUK
Inca Manco Capac International Airport,JUL
Jumla Airport,JUM
Jundah Airport,JUN
Jurado Airport,JUO
Jurien Bay Airport,JUR
Jutigalpa airport,JUT
Upernavik Airport,JUV
Quzhou Airport,JUZ
Ankavandra Airport,JVA
Central Jersey Regional Airport,JVI
Southern Wisconsin Regional Airport,JVL
Jwaneng Airport,JWA
Zanjan Airport,JWN
Jixi Xingkaihu Airport,JXA
Jackson County Reynolds Field,JXN
Jiroft Airport,JYR
Jyvaskyla Airport,JYV
Jiuzhai Huanglong Airport,JZH
Kasama Airport,KAA
Kariba International Airport,KAB
Qamishli Airport,KAC
Kaduna Airport,KAD
Kake Seaplane Base,KAE
Karato Airport,KAF
Gangneung Airport (K-18),KAG
Kaieteur International Airport,KAI
Kajaani Airport,KAJ
